Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
C,23,SAC,11,0,6.5,1.4,2.7,0.5,0.1,0.3,0.333,1.3,2.5,0.519,0.517,0.5,0.8,0.667,1,1.1,2.1,0.5,0.3,0.5,0.5,0.9,3.4
C,26,BOS,60,3,11.8,2.3,4.8,0.476,0,0,0,2.3,4.8,0.476,0.476,1.5,1.8,0.815,1,1.9,3,0.5,0.2,0.4,0.8,1.6,6.1
PG,30,BOS,13,13,28,5.5,15,0.364,2.6,7.3,0.358,2.8,7.7,0.37,0.451,2.8,3.2,0.902,0.5,3.2,3.7,4,1.1,0.2,2.2,1.3,16.4
SG,33,DET,21,18,22.9,3.7,8,0.456,2.7,6.2,0.438,1,1.9,0.513,0.624,0.6,0.8,0.75,0.3,1.6,2,1.1,0.4,0.2,0.7,1.5,10.6
SG,24,TOR,80,4,25.6,3.2,7.3,0.439,0.4,1.4,0.273,2.8,5.9,0.478,0.465,1.7,2.2,0.764,0.5,2.1,2.6,3.1,0.8,0.3,1.3,1.6,8.5
C,28,POR,28,16,25.1,4.9,8.4,0.581,0,0,0,4.9,8.4,0.581,0.581,1.8,2.3,0.754,4.1,7,11.1,1.1,0.5,0.8,1.2,2.5,11.5
PG,25,MIA,20,8,28.4,5.4,11.3,0.473,1.9,5.5,0.349,3.5,5.9,0.59,0.558,1.1,1.2,0.875,0.5,2.8,3.2,2.3,1.1,0.2,2.1,1.8,13.7
C,26,NOP,13,0,17.1,2.8,5.1,0.545,0.1,0.4,0.2,2.7,4.7,0.574,0.553,1.2,1.8,0.652,2.6,3.8,6.5,1.2,0.5,0.4,0.4,1.1,6.8
SF,29,MIL,28,28,33,7.5,14.6,0.51,2.4,5.5,0.442,5,9.1,0.551,0.593,3,3.3,0.902,0.7,5.1,5.8,5.8,1,0.1,2.5,2.8,20.3
C,28,MEM,19,18,27.5,6.5,11.2,0.585,0.4,1.1,0.381,6.1,10.1,0.607,0.604,3.1,4.1,0.753,3.2,7.6,10.8,2.1,0.6,0.8,2.2,3.3,16.5
PF,23,TOT,76,74,33.1,5.5,11.7,0.469,1.1,3.1,0.335,4.4,8.6,0.518,0.514,2.7,3.2,0.831,1.3,5.4,6.7,2.2,0.9,0.5,1.4,2,14.7
